bibkey	reference
Flowers2010	Flowers, R Wills, William D Shepard, and Robertotroya Mera. “A new species of Lepicerus (Coleoptera: Lepiceridae) from Ecuador”. Zootaxa 2639 (2010): 35–39. Print.	
foldvari2004taxonomic	Földvári, Mihály. “Taxonomic and faunistic studies of big-headed flies (Diptera: Pipunculidae)”. Diss. 2004. Print.	
Fombong2012	Fombong, Ayuka T, et al. “Life history of Oplostomus haroldi (Coleoptera: Scarabaeidae) under laboratory conditions and a description of its third instar larva”. International Journal of Tropical Insect Science 32.1. issn: 1742-7592 (2012): 56–63. Print.	
Foote1990	Foote, B A. “Biology and immature stages of Coenia curvicauda (Diptera: Ephydridae)”. Journal of the New York Entomological Society. issn: 0028-7199 (1990): 93–102. Print.	
Foote1960	Foote, B A, S E Neff, and C O Berg. “Biology and immature stages of Atrichomelina pubera (Diptera: Sciomyzidae)”. Annals of the Entomological Society of America 53.2 (1960): 192–199. Print.	
Forister2006	Forister, Matthew L, et al. “Egg morphology varies among populations and habitats along a suture zone in the Lycaeides idas-melissa species complex (Lepidoptera: Lycaenidae)”. Annals of the Entomological Society of America 99.5. issn: 0013-8746 (2006): 933–937. Print.	
Forrester2009	Forrester, Juanita A, Natalia J Vandenberg, and Joseph V Mchugh. “Redescription of Anovia circumclusa (Gorham) (Coleoptera: Coccinellidae: Noviini), with first description of the egg, larva, and pupa, and notes on adult intraspecific elytral pattern variation”. Zootaxa 2112 (2009): 25–40. Print.	
Forrester2008	Forrester, Juanita Ann. “Sacred systematics: the Noviini of the world (Coleoptera: Coccinellidae)”. Diss. 2008. Print.	
Forteath2012	Forteath, G N R and A W Osborn. “Biology, ecology and voltinism of the Australian spongillafly Sisyra pedderensis Smithers (Neuroptera: Sisyridae)”. Papers and Proceedings of the Royal Society of Tasmania 146 (2012): 25–36. Print.	
Fox1994	Fox, Charles W. “The influence of egg size on offspring performance in the seed beetle, Callosobruchus maculatus”. Oikos. issn: 0030-1299 (1994): 321–325. Print.	
Fox1997b	Fox, Charles W, Monica S Thakar, and Timothy A Mousseau. “Egg size plasticity in a seed beetle: an adaptive maternal effect”. American Naturalist. issn: 0003-0147 (1997): 149–163. Print.	
FOX1997	Fox, Charles, et al. “Seed beetle survivorship, growth and egg size plasticity in a paloverde hybrid zone”. Ecological Entomology 22.4. issn: 1365-2311 (1997): 416–424. Print.	
Fox2011	Fox, Eduardo Gonçalves Paterson, et al. “Comparative immature morphology of Brazilian fire ants (Hymenoptera: Formicidae: Solenopsis)”. Psyche 2012. issn: 0033-2615 (2011). Print.	
Fox2007	Fox, Eduardo Gonçalves Paterson, et al. “On the immature stages of the crazy ant Paratrechina longicornis (Latreille 1802) (Hymenoptera: Formicidae)”. Zootaxa 1503 (2007): 1–11. Print.	
Fox2012	Fox, Eduardo Gonçalves Paterson, et al. “The preimaginal stages of the ensign wasp Evania appendigaster (Hymenoptera, Evaniidae), a cockroach egg predator”. Invertebrate Biology 131.2. issn: 1744-7410 (2012): 133–143. Print.	
Frank2012	Frank, J H and H Nadel. “Life cycle and behaviour of Charoxus spinifer and Charoxus major (Coleoptera: Staphylinidae: Aleocharinae), predators of fig wasps (Hymenoptera: Agaonidae)”. Journal of Natural History 46.9-10. issn: 0022-2933 (2012): 621–635. Print.	
Fraulob2015	Fraulob, Maximilian, et al. “The embryonic development of Stylops ovinae (Strepsiptera, Stylopidae) with emphasis on external morphology”. Arthropod Structure & Development 44.1. issn: 1467-8039 (2015): 42–68. Print.	
Freitas2008	Freitas, André Victor Lucci and Keith S Brown Jr. “Immature stages of Vila emilia”. Tropical Lepidoptera Research 18 (2008): 74–77. Print.	
FREITAS1997	Freitas, Andre Victor Lucci, Keith S Brown Jr, and L Daniel Otero. “Juvenile stages of Cybdelis, a key genus uniting the diverse”. Tropical Lepidoptera 8.1 (1997): 29–34. Print.	
Frias2008	Frías, Daniel. “Morphology of immature stages in the neotropical nonfrugivorous Tephritinae fruit fly species Rachiptera limbata Bigot (Diptera: Tephritidae) on Baccharis linearis (R. et Pav.) (Asteraceae)”. Neotropical Entomology 37.5. issn: 1519-566X (2008): 536–545. Print.	
Frost1973	Frost, S W. “Hosts and eggs of Blepharida dorothea (Coleoptera: Chrysomelidae)”. The Florida Entomologist. issn: 0015-4040 (1973): 120–122. Print.	
fujitaembryonic	Fujita, Mari and Ryuichiro Machida. “Embryonic development of Eucorydia yasumatsui Asahina, with special reference to external morphology (Insecta: Blattodea, Corydiidae)”. Journal of Morphology. issn: 3622525. doi: 10.1002/jmor.20725 (2017). Print.	
FUJIWARA1987	Fujiwara, Naoki and H Kobayashi. “Embryogenesis of the Leather Winged Beetle, Athemus suturellus Motschulsky (Coleoptera, Cantharidae)”. Recent advances in Insect Embryology in Japan and Poland. 1987. 195–206. Print.	
Fujiwara2002	Fujiwara, Yuki, et al. “Changes in egg size of the diamondback moth Plutella xylostella (Lepidoptera: Yponomeutidae) treated with fenvalerate at sublethal doses and viability of the eggs”. Applied Entomology and Zoology 37.1. issn: 0003-6862 (2002): 103–109. Print.	
Furlan2004	Furlan, L. “The biology of Agriotes sordidus Illiger (Col., Elateridae)”. Journal of Applied Entomology 128.9-10. issn: 1439-0418 (2004): 696–706. Print.	
Furlan1996	Furlan, Lorenzo. “The biology of Agriotes ustulatus Schäller (Col., Elateridae). I. Adults and oviposition”. Journal of Applied Entomology 120.1-5. issn: 1439-0418 (1996): 269–274. Print.	
Furneaux1969	Furneaux, P J S, C R James, and S A Potter. “The egg shell of the house cricket (Acheta domesticus): an electron-microscope study”. Journal of Cell Science 5.1. issn: 0021-9533 (1969): 227–249. Print.	
Furniss2006	Furniss, Malcolm M and Sandra J Kegley. “Observations on the biology of Dryocoetes betulae (Coleoptera: Curculionidae) in paper birch in northern Idaho”. Environmental Entomology 35.4. issn: 0046-225X (2006): 907–911. Print.	
Furukawa1981a	Furukawa, E and K Kaneko. “Studies on phorid flies (Phoridae, Diptera) in Japan. IV. Scanning electron microscopic observations of eggs of two Megaselia”. Japanese Journal of Sanitary Zoology (1981). Print.	
Fuseini1975	Fuseini, B A and R Kumar. “Biology and immature stages of cotton stainers (Heteroptera: Pyrrhocoridae) found in Ghana”. Biological Journal of the Linnean Society 7.2. issn: 1095-8312 (1975): 83–111. Print.	
Gaino1984	Gaino, E and M Mazzini. “Scanning electron microscope study of the eggs of some Habrophlebia and Habroleptoides species (Ephemeroptera, Leptophlebiidae)”. Proceedings of the Fourth International Conference on Ephemeroptera, Bechyne, September 4-10, 1983/edited by Vladimir Landa, Tomas Soldan, and Martin Tonner. 1984. Print.	
Gaino1993	Gaino, Elda and Elisabetta Bongiovanni. “Scanning electron microscopy of the eggs of Palingenia longicauda (Olivier) (Ephemeroptera: Palingeniidae)”. International Journal of Insect Morphology and Embryology 22.1. issn: 0020-7322 (1993): 41–48. Print.	
Gaino1995	Gaino, Elda and John Flannagan. “Fine external morphology of the eggs of Ephoron album (Say) and Ephoron shigae (Takahashi) (Ephemeroptera, Polymitarcyidae)”. The Canadian Entomologist 127.4. issn: 1918-3240 (1995): 527–533. Print.	
Gaino1988	Gaino, Elda and Massimo Mazzini. “Fine structure of the chorionic projections of the egg of Rhithrogena kimminsi Thomas (Ephemeroptera: Heptageniidae) and their role in egg adhesion”. International Journal of Insect Morphology and Embryology 17.2. issn: 0020-7322 (1988): 113–120. Print.	
Gaino1993a	Gaino, Elda, Massimo Mazzini, and Michel Sartori. “Comparative analysis of the chorionic pattern in Habroleptoides species (Ephemeroptera, Leptophlebiidae)”. Italian Journal of Zoology 60.2. issn: 0373-4137 (1993): 155–162. Print.	
Gaino2001	Gaino, Elda and Manuela Rebora. “Synthesis and function of the fibrous layers covering the eggs of Siphlonurus lacustris (Ephemeroptera, Siphlonuridae)”. Acta Zoologica 82.1. issn: 1463-6395 (2001): 41–48. Print.	
Gaino2001a	Gaino, Elda, Michel Sartori, and Manuela Rebora. “Chorionic fine structure of eggs from some species of Proboscidoplocia (Ephemeroptera, Ephemeroidea)”. Italian Journal of Zoology 68.1. issn: 1125-0003 (2001): 1–8. Print.	
Gallard1935	Gallard, L. “Notes on the life-history of the large yellow lacewing, Nymphes myrmeleonides”. Australian Naturalist 9 (1935): 118–119. Print.	
Gallego2012	Gallego, Karen Reyes, et al. “Description of the early stages of Eccopsis galapagana Razowski & Landry (Tortricidae), a defoliator of Prosopis juliflora (SW.) DC. (Fabaceae) in Colombia”. The Journal of the Lepidopterists’ Society 66.3. issn: 0024-0966 (2012): 156–164. Print.	
Galvao2005	Galvão, Cleber, et al. “Description of eggs and nymphs of Linshcosteus karupus (Hemiptera: Reduviidae: Triatominae)”. Annals of the Entomological Society of America 98.6. issn: 0013-8746 (2005): 861–872. Print.	
gambrell1933	Gambrell, F L and Lydia A Jahn. “The embryology of the black fly, Simulium pictipes Hagen”. Annals of the Entomological Society of America 26.4 (1933): 641–671. Print.	
Gangrade1962	Gangrade, G A. “The biology and morphology of immature stages of Euderus agromyzae Gangrade (Eulophidae: Hymenoptera)”. Indian Journal of Entomology 24 (1962): 265–273. Print.	
Ganguly2008	Ganguly, Arijit, et al. “Scanning electron microscopy of egg-surface sculpturing of two common Indian short-horn grasshoppers (Orthoptera, Acrididae)”. Journal of Orthoptera Research 17.1. issn: 1082-6467 (2008): 97–100. Print.	
Ganho2000	Ganho, Norma G and Renato C Marinoni. “Algumas características da reprodução e ontogênese de Epilachna paenulata (Germar)(Coleoptera, Coccinellidae, Epilachninae)”. Revista Brasileira de Zoologia, Curitiba 17.2 (2000): 445–454. Print.	
Garbiec2015	Garbiec, Arnold, et al. “Asymmetry in structure of the eggshell in Osmylus fulvicephalus (Neuroptera: Osmylidae): an exceptional case of breaking symmetry during neuropteran oogenesis”. Protoplasma. issn: 0033-183X (2015): 1–10. Print.	
Garcia-Barros2000	García-Barros, Enrique. “Egg size in butterflies (Lepidoptera: Papilionoidea and Hesperiidae): a summary of data”. Journal of Research on the Lepidoptera 35 (2000): 90–136. Print.	
Garcia-Barros1995	García-Barros, Enrique and J Martin. “The eggs of European satyrine butterflies (Nymphalidae): external morphology and its use in systematics”. Zoological Journal of the Linnean Society 115.1. issn: 0024-4082 (1995): 73–115. Print.	
Gardiner1953	Gardiner, Phyllis. “The morphology and biology of Ernobius mollis L. (Coleoptera—Anobiidae)”. Transactions of the Royal Entomological Society of London 104.1. issn: 1365-2311 (1953): 1–24. Print.	
Garofalo2011	Garófalo, Carlos Alberto, Evandro Camillo, and José C Serrano. “Reproductive aspects of Meloetyphlus fuscatus a meloid beetle cleptoparasite of the bee Eulaema nigrita (Hymenoptera, Apidae, Euglossini)”. Apidologie 42.3. issn: 0044-8435 (2011): 337–348. Print.	
garofalo2011reproductive	“Reproductive aspects of Meloetyphlus fuscatus a meloid beetle cleptoparasite of the bee Eulaema nigrita (Hymenoptera, Apidae, Euglossini)”. Apidologie 42.3 (2011): 337–348. Print.	
Garofalo2001	Garófalo, Carlos Alberto and Jerome George Rozen Jr. “Parasitic behavior of Exaerete smaragdina with descriptions of its mature oocyte and larval instars (Hymenoptera: Apidae: Euglossini)”. American Museum Novitates. issn: 0003-0082 (2001): 1–28. Print.	
Garrevoet2011	Garrevoet, Theo and Walter Garrevoet. “Bembecia lingenhoelei, a new Clearwing moth from Tajikistan (Lepidoptera: Sesiidae)”. Phegea 39.2 (2011): 73–79. Print.	
Gates2008a	Gates, M, et al. “Description of the immature stages of Eurytoma sivinskii Gates and Grissell (Hymenoptera: Eurytomidae), an ectoparasitoid of Anastrepha (Diptera: Tephritidae) pupae in Mexico”. Entomological News 119.4. issn: 0013-872X (2008): 354–360. Print.	
gathalkar2017biology	Gathalkar, Ganesh B, Deepak D Barsagade, and Avalokiteswar Sen. “Biology and Development of Xanthopimpla pedator (Hymenoptera: Ichneumonidae): Pupal Endoparasitoid of Antheraea mylitta (Lepidoptera: Saturniidae)”. Annals of the Entomological Society of America (2017). Print.	
Gautam2015	Gautam, S G, et al. “Comparative egg morphology and chorionic ultrastructure of key stored-product insect pests”. Annals of the Entomological Society of America 108.1. issn: 0013-8746 (2015): 43–56. Print.	
Gautam2014	Gautam, S G, et al. “Egg morphology of key stored-product insect pests of the United States”. Annals of the Entomological Society of America 107.1. issn: 0013-8746 (2014): 1–10. Print.	
Gauvin2001	Gauvin, Marie-Josée, Guy Boivin, and Jean-Pierre Nénon. “Hydropy and ultrastructure of egg envelopes in Aleochara bilineata (Coleoptera, Staphylinidae)”. Zoomorphology 120.3. issn: 0720-213X (2001): 171–175. Print.	
Geertsema2004	Geertsema, H. “Micropyle and chorion structure of the eggs of some South African hepialoid moths (Lepidoptera: Prototheoridae: Hepialidae): short communication”. African Entomology 12.1. issn: 1021-3589 (2004): 147–153. Print.	
Genung1980	Genung, William G, Robert E Woodruff, and Eric E Grissell. “Languria erythrocephalus: Host plants, immature stages, parasites, and habits (Coleoptera: Languriidae)”. The Florida Entomologist. issn: 0015-4040 (1980): 206–210. Print.	
Gepp1990	Gepp, J. “An illustrated review of egg morphology in the families of Neuroptera (Insecta: Neuropteroidea)”. Advances in Neuropterology. Proceedings of the Third International Symposium on Neuropterology. Department of Agricultural Development. Pretoria. 1990. 131–149. Print.	
Gerard1989	Gerard, P J. “Biology and morphology of immature stages of Centrodora scolylbopae (Hymenoptera: Aphelinidae)”. New Zealand Entomologist 12.1. issn: 0077-9962 (1989): 24–29. Print.	
Gerard1997	Gerard, P J and L D Ruf. “Development and biology of the immature stages of Anthrenocerus australis Hope (Coleoptera: Dermestidae)”. Journal of Stored Products Research 33.4. issn: 0022-474X (1997): 347–357. Print.	
Gerberg1957	Gerberg, Eugene Jordan. A revision of the New World species of powder-post beetles belonging to the family Lyctidae. Vol. 1157. 1957. Print.	
gerwel1950rozwoj	Gerwel, Czesław. “Rozwój zarodkowy porphyrophora polonica Ckll.(Coccidae)”. The Poznan Society of Friends of Science Department of Mathematical and Natural Sciences Biological Section 12.3 (1950). Print.	
Ghosh1913	Ghosh, C C. “Life history of Helicominus dicus walk”. Journal of the Bombay Natural History Society 22 (1913): 643–648. Print.	
Ghosh1996	Ghosh, K N and J Mukhopadhyay. “A comparison of chorionic sculpturing of four Indian phlebotomine sandflies (Diptera: Psychodidae) by scanning electron microscopy”. Parasite 3.1. issn: 1252-607X (1996): 61–67. Print.	
Giannotti1997	Giannotti, Edilberto. “Biology of the wasp Polistes (epicnemius) cinerascens Saussure (Hymenoptera: Vespidae)”. Anais da Sociedade Entomológica do Brasil 26.1. issn: 0301-8059 (1997): 61–67. Print.	
Gibbs2002	Gibbs, G W. “A new species of tusked weta from the Raukumara Range, North Island, New Zealand (Orthoptera: Anostostomatidae: Motuweta)”. New Zealand Journal of Zoology 29.4. issn: 0301-4223 (2002): 293–301. Print.	
Gibbs1999	“Four new species of giant weta, Deinacrida (Orthoptera: Anostostomatidae: Deinacridinae) from New Zealand”. Journal of the Royal Society of New Zealand 29.4. issn: 0303-6758 (1999): 307–324. Print.	
Gibbs1979	“PRESIDENTIAL ADDRESS Some notes on the biology and status of the Mnesarchaeidae (Lepidoptera)”. New Zealand Entomologist 7.1. issn: 0077-9962 (1979): 2–9. Print.	
Gilgado2011	Gilgado, José D and Vicente M Ortuño. “Biological notes and description of egg and first instar larva of Carabus (Oreocarabus) ghilianii La Ferté-Sénectère 1847 (Coleoptera: Carabidae)”. Annales de la Société Entomologique de France 47.3-4, (2011): 444–456. Print.	
giorgi1994structure	Giorgi, Franco and John H Nordin. “Structure of yolk granules in oocytes and eggs of Blattella germanica and their interaction with vitellophages and endosymbiotic bacteria during granule degradation”. Journal of Insect Physiology 40.12 (1994): 1077–1092. Print.	
Gittelman1974	Gittelman, Steven H. “Descriptions of immature and adult stages of Martarega hondurensis Bare (Hemiptera: Notonectidae)”. Journal of the Kansas Entomological Society. issn: 0022-8567 (1974): 145–155. Print.	
DiGiulio2002	Giulio, Andrea di, Marco Alberto Bologna, and John Darwin Pinto. “Larval morphology of the Meloe subgenus Mesomeloe: inferences on its phylogenetic position and a first instar larval key to the Meloe subgenera (Coleoptera, Meloidae)”. Italian Journal of Zoology 69.4. issn: 1125-0003 (2002): 339–344. Print.	
Gnaneswaran1996	Gnaneswaran, R and H N P Wijayagunasekara. “Biology of Cyllodes bifacies walker (Coleoptera: Cucujoidea: Nitidulidae), a pest of oyster mushroom (Pleurotus ostreatus) in Sri Lanka”. Tropical Agricultural Research 8 (1996): 377–390. Print.	
Gobin1998	Gobin, Bruno, Christian Peeters, and Johan Billen. “Production of trophic eggs by virgin workers in the ponerine antGnamptogenys menadensis”. Physiological Entomology 23.4. issn: 1365-3032 (1998): 329–336. Print.	
Godunko2008	Godunko, Roman J and Malgorzata Klonowska-Olejnik. “Ecdyonurus ntgrescens (Klapálek, 1908) (Ephemeroptera: Heptagenidae)-Neotype Designation, Taxonomical and Nomenclature Notes”. Annales Zoologici 58.4, (2008): 799–817. Print.	
gonzalez2007first	González-Acuña, Daniel, et al. “First records of Trichodectes canis (Insecta: Phthiraptera: Trichodectidae) from Darwin’s fox, Pseudalopex fulvipes (Mammalia: Carnivora: Canidae)”. European Journal of Wildlife Research 53.1 (2007): 76–79. Print.	
Gonzalez2004	Gonzalez, Victor H, Adriana Mejia, and Claus Rasmussen. “Ecology and nesting behavior of Bombus atratus Franklin in Andean highlands (Hymenoptera: Apidae)”. Journal of Hymenoptera Research 13.2 (2004): 28–36. Print.	
Gorder1984	Gorder, N K N and J W Mertins. “Life history of the parsnip webworm, Depressaria pastinacella (Lepidoptera: Oecophoridae), in central Iowa”. Annals of the Entomological Society of America 77.5. issn: 0013-8746 (1984): 568–573. Print.	
Gordh1986	Gordh, Gordon and R E Medved. “Biological notes on Goniozus pakmanus Gordh (Hymenoptera: Bethylidae), a parasite of pink bollworm, Pectinophora gossypiella (Saunders) (Lepidoptera: Gelechiidae)”. Journal of the Kansas Entomological Society. issn: 0022-8567 (1986): 723–734. Print.	
Gordinier2003	Gordinier, H C. “Biology of Diastrophus nebulosus (Hymenoptera: Cynipidae) and its parasitoid/inquiline complex in galls on Rubus flagellaris (Rosaceae)”. Great Lakes Entomologist 36.3/4. issn: 0090-0222 (2003): 129–151. Print.	
gorg1959untersuchungen	Görg, Ilse. “Untersuchungen am Keim von Hierodula (Rhombodera) crassa Giglio Tos.: ein Beitr. zur Embryologie der Mantiden (Mantodea)”. Deutsche Entomologische Zeitschrift (1959). Print.	
goss1952early	Goss, Richard J. “The early embryology of the book louse, Liposcelis divergens Badonnel (Psocoptera; Liposcelidae)”. Journal of Morphology 91.1 (1952): 135–167. Print.	
gottardo2008new	Gottardo, Marco. “A new species of Korinnis Günther from the Philippines (Phasmatodea: Prisopodidae: Korinninae)”. Zootaxa 1917 (2008): 61–64. Print.	
gottardo2012enigmatic	Gottardo, Marco and Philipp Heller. “An enigmatic new stick insect from the Philippine Islands (Insecta: Phasmatodea)”. Comptes Rendus Biologies 335.9 (2012): 594–601. Print.	
Gower1967	Gower, A M. “A study of Limnephilus lunatus Curtis (Trichoptera: Limnephilidae) with reference to its life cycle in watercress beds”. Transactions of the Royal Entomological Society of London 119.10. issn: 1365-2311 (1967): 283–302. Print.	
GRADINAROV	Gradinarov, Denis, et al. “Biology of the blind geobiont scarab beetle genus Chaetonyx Schaum, 1862 (Scarabaeidae: Orphninae) with new distribution records of Ch. robustus Schaum, 1862 from Bulgaria”. ZooNotes 1.81. issn: 1313-9916 (2015): 1–14. Print.	
Gray1973	Gray, B. “The immature stages of Hylurdrectonus araucariae Schedl and H. piniarius Schedl (Coleoptera: Scolytidae: Hylesininae)”. Journal of Entomology Series B, Taxonomy 42.1. issn: 1365-3113 (1973): 49–58. Print.	
Greenberg1995	Greenberg, Bernard and Devinder Singh. “Species identification of calliphorid (Diptera) eggs”. Journal of Medical Entomology 32.1. issn: 0022-2585 (1995): 21–26. Print.	
Greenberg1998	Greenberg, Bernard and Jeffrey D Wells. “Forensic use of Megaselia abdita and M. scalaris (Phoridae: Diptera): case studies, development rates, and egg structure”. Journal of Medical Entomology 35.3 (1998): 205–209. Print.	
Greenberg1998a	“Forensic use of Megaselia abdita and M. scalaris (Phoridae: Diptera): case studies, development rates, and egg structure”. Journal of Medical Entomology 35.3 (1998): 205–209. Print.	
greven2005rontgenmikroanalytische	Greven, Hartmut, Michael Mielewczik, and Hildegard Hammer. “Röntgenmikroanalytische Untersuchung des Chorions der Gespenstschrecke Pharnacia westwoodi (Phasmatodea)”. Entomologie heute 17 (2005): 39–45. Print.	
Grochowska2006	Grochowska, Maria. “Remarks on the morphology and biology of Cleigastra apicalis (Meigen, 1826) (Diptera, Scathophagidae)”. Acta Zoologica 87.4. issn: 1463-6395 (2006): 247–252. Print.	
gross1940early	Gross, James B and Ruth B Howland. “The early embryology of Prodenia eridania”. Annals of the Entomological Society of America 33.1 (1940): 56–76. Print.	
GROSSNIKLAUS-BURGIN1994	Grossniklaus-Bürgin, Christa, et al. “Biology and morphology of the parasitoid Chelonus inanitus (Braconidae, Hymenoptera) and effects on the development of its host Spodoptera littoralis (Noctuidae, Lepidoptera)”. Invertebrate Reproduction & Development 25.2. issn: 0792-4259 (1994): 143–158. Print.	
Grzywacz2010	Grzywacz, Andrzej and Thomas Pape. “Egg morphology of Mydaea lateritia (Rondani, 1866) (Diptera: Muscidae)”. Entomologica Fennica 21.3 (2010): 187–192. Print.	
Grzywacz2012	Grzywacz, Andrzej, Krzysztof Szpila, and Thomas Pape. “Egg morphology of nine species of pollenia robineau-desvoidy, 1830 (Diptera: Calliphoridae)”. Microscopy Research and Technique 75.7. issn: 1097-0029 (2012): 955–967. Print.	
guglielmino1997postembryonic	Guglielmino, A and E G Virla. “Postembryonic development and biology of Psammotettix alienus (Dahlbom) (Homoptera Cicadellidae) under laboratory conditions”. Journal of Experimental Biology 29 (1997): 65–80. Print.	
Guglielmino1997	Guglielmino, Adalgisa, Anna Rita Taddei, and Marcella Carcupino. “Fine structure of the eggshell of Ommatissus binotatus Fieber (Homoptera, Auchenorrhyncha, Tropiduchidae)”. International Journal of Insect Morphology and Embryology 26.2. issn: 0020-7322 (1997): 85–89. Print.	
Gumovsky2007a	Gumovsky, A V. “A taxonomic revision, biology and morphology of immature stages of the Entedon sparetus species group (Hymenoptera: Eulophidae), egg-larval endoparasitoids of weevils (Coleoptera: Curculionidae)”. Bulletin of Entomological Research 97.2. issn: 1475-2670 (2007): 139–166. Print.	
Gumovsky2011	Gumovsky, A V and M M Ramadan. “Biology, immature and adult morphology, and molecular characterization of a new species of the genus Entedon (Hymenoptera: Eulophidae) associated with the invasive pest Specularius impressithorax (Coleoptera: Chrysomelidae, Bruchinae) on Erythrina plants”. Bulletin of Entomological Research 101.6. issn: 1475-2670 (2011): 715–739. Print.	
Gumovsky2013	Gumovsky, A V, S A Simutnik, and A V Prokhorov. “Life-history review of Oobius zahaikevitshi Trjapitzin, 1963 (Hymenoptera: Encyrtidae), an egg parasitoid of jewel beetles (Coleoptera: Buprestidae)”. Russian Entomological Journal 22.3 (2013): 181–188. Print.	
Gumovsky1964	Gumovsky, Alex V. “Parasitism of Entedon costalis (Hymenoptera: Eulophidae) in Glocianus punctiger (Coleoptera: Curculionidae): an example of intentional discovery of the parasitoid-host association”. Zootaxa 2008 (1964): 40–68. Print.	
Gumovsky2007	Gumovsky, Alex, Lidiya Rusina, and Lesya Firman. “Bionomics and morphological and molecular characterization of Elasmus schmitti and Baryscapus elasmi (Hymenoptera: Chalcidoidea, Eulophidae), parasitoids associated with a paper wasp, Polistes dominulus (Vespoidea, Vespidae)”. Entomological Science 10.1. issn: 1479-8298 (2007): 21–34. Print.	
Guppy1963	Guppy, J C. “Observations on the biology of Plagiognathus chrysanthemi (Hemiptera: Miridae), a pest of birdsfoot trefoil in Ontario”. Annals of the Entomological Society of America 56.6. issn: 0013-8746 (1963): 804–809. Print.	
Guppy1987	Guppy, J C and F Meloche. “Life history and description of the immature stages of Dacnusa dryas (Nixon) (Hymenoptera: Braconidae), a European parasite of the alfalfa blotch leafminer (Diptera: Agromyzidae) in eastern Canada”. The Canadian Entomologist 119.3. issn: 1918-3240 (1987): 281–285. Print.	
Gupta2009	Gupta, Nidhi, et al. “Eggshell morphology of selected Indian bird lice (Phthiraptera: Amblycera and Ischnocera)”. Entomological News 120.3. issn: 0013-872X (2009): 327–336. Print.	
Gurney1938	Gurney, Ashley Buell. “A synopsis of the Order Zoraptera, with notes on the biology of Zorotypus hubbardi Caudell. Una sinopsis del Orden Zoraptera, con apuntes sobre la biología de Zorotypus hubbardi Caudell”. Proceedings of the Entomological Society of Washington 40.3 (1938): 57–87. Print.	
gustafson1966biological	Gustafson, Joel F. “Biological observations on Timema californica (Phasmoidea: Phasmidae)”. Annals of the Entomological Society of America 59.1 (1966): 59–61. Print.	
Haas1958	Haas, Glenn E and Robert J Dicke. “On Cuterebra horripilum Clark (Diptera: Cuterebridae) parasitizing cottontail rabbits in Wisconsin”. The Journal of Parasitology. issn: 0022-3395 (1958): 527–540. Print.	
Habeck1963	Habeck, Dale H. “Description of immature stages of the Chinese rose beetle, Adoretus sinicus Burmeister (Coleoptera: Scarabaeidae)”. Proceedings of the Hawaiian Entomological Society 18.2. issn: 0073-134X (1963). Print.	
Hafez1980	Hafez, M, M F S Tawfik, and A A Ibrahim. “The immature stages of Chelonus inanitus (L.), a parasite of the Cotton Leafworm, Spodoptera littoralis (Boisd.), in Egypt (Hym., Braconidae)”. Deutsche Entomologische Zeitschrift 27.1‐3. issn: 1860-1324 (1980): 29–38. Print.	
Haga1985	Haga, K. “Oogenesis and embryogenesis of the idolothripine thrips, Bactrothrips brevitubus (Thysanoptera, Phlaeothripidae)”. Recent Advances in Insect Embryology in Japan. 1985. 45–106. Print.	
hagan1917observations	Hagan, Harold R. “Observations on the embryonic development of the mantid Paratenodera sinensis”. Journal of Morphology 30.1 (1917): 223–243. Print.	
Hagan1931	“The embryogeny of the polyctenid, Hesperoctenes fumarius Westwood, with reference to viviparity in insects”. Journal of Morphology 51.1. issn: 1097-4687 (1931): 1–117. Print.	
Hager1986	Hager, Barbara J and Frank E Kurczewski. “Nesting behavior of Ammophila harti (Fernald) (Hymenoptera: Sphecidae)”. American Midland Naturalist. issn: 0003-0031 (1986): 7–24. Print.	
Hale1924	Hale, H M. “Notes on eggs, habits and migration of some Australian aquatic bugs (Corixidae and Notonectidae)”. The South Australian Naturalist 5 (1924): 133–135. Print.	
Hamilton1994	Hamilton, Robert W. “New life cycle data for two western North American weevils (Coleoptera: Rhynchitidae), with a summary of North American rhynchitid biology”. The Coleopterists’ Bulletin. issn: 0010-065X (1994): 331–343. Print.	
Hammer1941	Hammer, Ole. “Biological and ecological investigations on flies associated with pasturing cattle and their excrement”. Videnskabelige Meddelelser Naturhistorisk Forening i København 105 (1941). Print.	
Hamon1975	Hamon, Avas B, Paris L Lambdin, and Michael Kosztarab. “Eggs and wax secretion of Kermes kingi”. Annals of the Entomological Society of America 68.6. issn: 0013-8746 (1975): 1077–1078. Print.	
Hancock1902	Hancock, Joseph Lane. The Tettigidae of North America. 1902. Print.	
Hanley1999	Hanley, R S and K Setsuda. “Immature stages of Oxyporus japonicus Sharp (Coleoptera: Staphylinidae: Oxyporinae), with notes on patterns of host use”. The Pan-Pacific Entomologist. issn: 0031-0603 (1999). Print.	
Hanley1994	Hanley, Rodney S and Michael A Goodrich. “Natural history, development and immature stages of Oxyporus stygicus Say (Coleoptera: Staphylinidae: Oxyporinae)”. The Coleopterists’ Bulletin. issn: 0010-065X (1994): 213–225. Print.	
Hansell1982	Hansell, M H. “Brood development in the subsocial wasp Parischnogaster mellyi (Saussure) (Stenogastrinae, Hymenoptera)”. Insectes Sociaux 29.1. issn: 0020-1812 (1982): 3–14. Print.	
